articulograph,position,trial,sensor,coordinate,SD
WAVE,p8,t1,s6,Qy,0.1966
WAVE,p8,t1,s7,Qy,0.0516
WAVE,p8,t1,s8,Qy,0.0451
VOX,p8,t1,s1,Qy,0.0121
VOX,p8,t1,s2,Qy,0.0131
VOX,p8,t1,s3,Qy,0.0165
VOX,p8,t1,s4,Qy,0.018
VOX,p8,t1,s5,Qy,0.0216
VOX,p8,t1,s6,Qy,0.0283
VOX,p8,t1,s7,Qy,0.0337
VOX,p8,t1,s8,Qy,0.044
WAVE,p8,t1,s1,Qz,1.1631
WAVE,p8,t1,s2,Qz,0.2159
WAVE,p8,t1,s3,Qz,0.3196
WAVE,p8,t1,s4,Qz,0.3312
WAVE,p8,t1,s5,Qz,0.2888
WAVE,p8,t1,s6,Qz,0.3233
WAVE,p8,t1,s7,Qz,0.074
WAVE,p8,t1,s8,Qz,0.0623
VOX,p8,t1,s1,Qz,0.0081
VOX,p8,t1,s2,Qz,0.0061
VOX,p8,t1,s3,Qz,0.0125
VOX,p8,t1,s4,Qz,0.0116
VOX,p8,t1,s5,Qz,0.016
VOX,p8,t1,s6,Qz,0.0187
VOX,p8,t1,s7,Qz,0.0269
VOX,p8,t1,s8,Qz,0.0343
WAVE,p8,t1,s1,pitch,0.3293
WAVE,p8,t1,s2,pitch,0.084
WAVE,p8,t1,s3,pitch,0.186
WAVE,p8,t1,s4,pitch,0.1405
WAVE,p8,t1,s5,pitch,0.1577
WAVE,p8,t1,s6,pitch,0.0868
WAVE,p8,t1,s7,pitch,0.0438
WAVE,p8,t1,s8,pitch,0.0361
VOX,p8,t1,s1,pitch,0.0021
VOX,p8,t1,s2,pitch,0.0018
VOX,p8,t1,s3,pitch,0.0025
VOX,p8,t1,s4,pitch,0.0037
